Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
1,0.2258,22.8,16.72
2,0.1286,25.98,22.47
3,0.0955,27.03,24.34
4,0.0825,27.15,25.24
5,0.0747,27.61,25.86
6,0.0704,27.09,25.62
7,0.0663,27.46,26.15
8,0.0659,27.91,26.88
9,0.0611,27.99,27.11
10,0.0604,27.85,26.9
11,0.0592,27.71,26.83
12,0.0597,28,27.09
13,0.0604,27.57,26.55
14,0.0588,28.02,27.09
15,0.058,28.14,27.19
16,0.0578,27.44,26.64
17,0.0579,27.51,26.66
18,0.0583,28.11,27.27
19,0.0573,27.8,27.01
20,0.0571,27.91,26.97
21,0.0568,27.14,26.53
22,0.0566,27.88,26.92
23,0.0564,27.47,26.67
24,0.0565,28.25,27.27
25,0.0561,28.21,27.19
26,0.0559,27.92,26.96
27,0.056,28.23,27.25
28,0.0558,28.2,27.23
29,0.0556,28.05,27.03
30,0.0555,27.74,26.94
31,0.0554,27.81,26.93
32,0.0553,28.13,27.08
33,0.0553,28.27,27.29
34,0.0552,28.06,27.08
35,0.0551,28.31,27.31
36,0.055,27.91,27.12
37,0.0549,28.12,27.23
38,0.0549,27.72,26.85
39,0.0548,28.27,27.23
40,0.0547,28.29,27.24
41,0.0546,28.33,27.32
42,0.0546,28.24,27.25
43,0.0545,28.21,27.23
44,0.0543,28.22,27.19
45,0.0544,28.24,27.2
46,0.0543,28.17,27.07
47,0.0544,28.38,27.38
48,0.0543,28.38,27.41
49,0.0542,28.03,27.15
50,0.054,28.3,27.34
51,0.0535,28.19,27.19
52,0.0534,28.35,27.38
53,0.0534,28.39,27.38
54,0.0533,28.29,27.32
55,0.0533,28.29,27.36
56,0.0532,28.34,27.41
57,0.0532,28.31,27.31
58,0.0532,28.35,27.4
59,0.0532,28.29,27.37
60,0.0531,28.32,27.37
61,0.0531,28.07,27.24
62,0.0531,28.25,27.33
63,0.0531,28.38,27.39
64,0.0531,28.38,27.43
65,0.053,28.44,27.54
66,0.0531,28.47,27.44
