Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
1,0.0596,28.59,27.23
2,0.0427,28.79,27.21
3,0.0372,29.31,27.83
4,0.0347,29.42,28.17
5,0.0331,29.16,27.78
6,0.0322,29.11,27.75
7,0.032,29.47,28.48
8,0.0312,29.39,28.29
9,0.0306,29.51,28.33
10,0.0301,29.61,28.32
11,0.0299,29.59,28.36
12,0.0295,29.68,28.43
13,0.0294,29.38,27.87
14,0.0292,29.47,28.12
15,0.0292,29.27,27.99
16,0.0293,29.73,28.39
17,0.029,29.68,28.36
18,0.0288,29.6,28.22
19,0.0287,29.22,27.86
20,0.0285,29.51,28.09
21,0.0284,29.27,28.11
22,0.0284,29.51,28.16
23,0.0284,29.5,27.98
24,0.0283,29.65,28.2
25,0.0282,29.33,27.94
26,0.0281,29.62,28.26
27,0.0281,29.57,28.15
28,0.0282,29.51,27.95
29,0.0282,29.73,28.41
30,0.028,29.61,28.27
31,0.0282,29.78,28.4
32,0.0279,29.83,28.3
33,0.0279,29.57,28.11
34,0.0279,29.4,28.11
35,0.0279,29.32,27.98
36,0.0278,29.75,28.33
37,0.0278,29.57,28.11
38,0.0277,29.66,28.17
39,0.0277,29.59,28.12
40,0.0277,29.6,28.18
41,0.0277,29.66,28.21
42,0.0277,29.41,28.09
43,0.0277,29.68,28.12
44,0.0276,29.66,28.22
45,0.0276,29.5,28.07
46,0.0276,29.5,27.95
47,0.0276,29.75,28.19
48,0.0276,29.46,28.01
49,0.0276,29.7,28.16
50,0.0275,29.63,28.35
51,0.0272,29.87,28.27
52,0.0272,29.85,28.34
53,0.0272,29.77,28.28
54,0.0272,29.74,28.32
55,0.0272,29.71,28.12
56,0.0272,29.6,28.28
57,0.0272,29.88,28.45
58,0.0272,29.71,28.26
59,0.0272,29.73,28.29
60,0.0272,29.68,28.22
61,0.0272,29.72,28.26
62,0.0272,29.61,28.05
63,0.0272,29.78,28.26
64,0.0272,29.47,27.94
65,0.0272,29.77,28.21
66,0.0272,29.73,28.28
67,0.0272,29.68,28.1
68,0.0272,29.72,28.13
69,0.0272,29.6,28.2
70,0.0271,29.73,28.36
71,0.0271,29.86,28.39
72,0.0271,29.63,28.24
73,0.0271,29.85,28.32
74,0.0271,29.85,28.38
75,0.0271,29.88,28.37
76,0.0271,29.65,28.29
77,0.0271,29.66,28.23
78,0.0271,29.72,28.29
79,0.0271,29.83,28.25
80,0.0271,29.63,28.19
81,0.0271,29.74,28.33
82,0.0271,29.64,28.06
83,0.0271,29.82,28.36
84,0.0271,29.85,28.25
85,0.0271,29.69,28.23
86,0.0271,29.88,28.25
87,0.0271,29.61,28.07
88,0.0271,29.77,28.26
89,0.0271,29.76,28.32
90,0.0271,29.79,28.36
91,0.027,29.64,28.21
92,0.0271,29.78,28.32
93,0.0271,29.97,28.42
