Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
91,0.182,28.91,28.99,0.85,0.87
92,0.1819,28.95,29.1,0.85,0.87
93,0.1819,28.78,28.6,0.85,0.86
94,0.1818,28.7,28.42,0.85,0.86
95,0.1818,28.99,29.11,0.85,0.87
96,0.1818,28.86,28.82,0.85,0.85
97,0.1816,28.77,28.44,0.85,0.85
98,0.1817,28.7,28.35,0.85,0.86
99,0.1816,28.94,29.07,0.85,0.87
100,0.181,28.85,28.71,0.85,0.86
101,0.1809,28.91,28.99,0.85,0.87
102,0.1809,28.89,28.92,0.85,0.87
103,0.1809,28.88,28.87,0.85,0.87
104,0.1809,28.91,28.95,0.85,0.87
105,0.1808,28.95,29.05,0.85,0.87
106,0.1809,28.82,28.7,0.85,0.86
107,0.1808,28.95,29.07,0.85,0.87
108,0.1808,28.85,28.71,0.85,0.86
109,0.1807,28.9,28.91,0.85,0.87
110,0.1807,28.96,29.06,0.85,0.87
111,0.1808,28.82,28.61,0.85,0.86
112,0.1806,28.94,29.02,0.85,0.87
113,0.1807,28.88,28.84,0.85,0.87
114,0.1806,28.79,28.57,0.85,0.86
115,0.1807,28.89,28.87,0.85,0.87
116,0.1807,28.92,28.96,0.85,0.87
117,0.1806,28.91,28.95,0.85,0.87
118,0.1806,28.87,28.8,0.85,0.87
119,0.1805,28.87,28.78,0.85,0.86
120,0.1806,28.92,28.95,0.85,0.87
121,0.1805,28.88,28.78,0.85,0.86
122,0.1805,28.93,28.97,0.85,0.87
123,0.1804,28.97,29.07,0.85,0.87
124,0.1804,28.9,28.9,0.85,0.87
125,0.1805,28.9,28.91,0.85,0.87
126,0.1804,28.92,28.9,0.85,0.87
127,0.1804,28.86,28.77,0.85,0.87
128,0.1803,28.95,29.04,0.85,0.87
129,0.1803,28.84,28.64,0.85,0.86
130,0.1803,28.95,29.01,0.85,0.87
131,0.1803,28.9,28.87,0.85,0.87
132,0.1803,28.98,29.11,0.85,0.87
133,0.1802,28.74,28.3,0.85,0.86
134,0.1802,28.98,29.08,0.85,0.87
135,0.1802,28.93,28.96,0.85,0.87
136,0.1802,28.9,28.84,0.85,0.87
137,0.1802,28.9,28.86,0.85,0.87
138,0.1801,28.86,28.75,0.85,0.87
139,0.1802,28.95,28.99,0.85,0.87
140,0.1802,28.88,28.79,0.85,0.86
141,0.1801,28.92,28.95,0.85,0.87
142,0.1801,28.99,29.11,0.85,0.87
143,0.1801,28.86,28.7,0.85,0.86
144,0.18,28.85,28.62,0.85,0.86
145,0.18,28.84,28.7,0.85,0.87
146,0.18,28.87,28.76,0.85,0.86
147,0.18,28.7,28.18,0.85,0.86
148,0.18,28.98,29.07,0.85,0.87
149,0.1799,28.95,28.99,0.85,0.87
150,0.1797,28.94,28.95,0.85,0.87
151,0.1797,28.95,28.97,0.85,0.87
152,0.1797,28.96,29.01,0.85,0.87
153,0.1797,28.9,28.81,0.85,0.87
154,0.1797,28.95,28.99,0.85,0.87
155,0.1797,28.91,28.85,0.85,0.87
156,0.1797,28.95,28.95,0.85,0.87
157,0.1796,28.96,29.0,0.85,0.87
158,0.1797,28.93,28.92,0.85,0.87
159,0.1797,28.95,28.97,0.85,0.87
160,0.1796,28.89,28.78,0.85,0.86
161,0.1796,28.97,29.02,0.85,0.87
162,0.1795,28.91,28.86,0.85,0.87
163,0.1796,28.87,28.71,0.85,0.86
164,0.1796,28.94,28.93,0.85,0.87
165,0.1796,28.98,29.05,0.85,0.87
166,0.1796,28.89,28.81,0.85,0.87
167,0.1796,28.92,28.91,0.85,0.87
168,0.1796,28.94,28.94,0.85,0.87
169,0.1795,28.97,29.02,0.85,0.87
170,0.1796,28.96,29.0,0.85,0.87
171,0.1796,28.97,28.99,0.85,0.87
172,0.1795,28.98,29.06,0.85,0.87
173,0.1795,28.89,28.75,0.85,0.87
174,0.1795,28.89,28.79,0.85,0.87
175,0.1795,28.97,29.02,0.85,0.87
176,0.1795,28.93,28.93,0.85,0.87
177,0.1795,28.92,28.88,0.85,0.87
178,0.1795,28.92,28.85,0.85,0.87
179,0.1795,28.94,28.93,0.85,0.87
180,0.1794,28.84,28.6,0.85,0.86
181,0.1794,28.93,28.92,0.85,0.87
182,0.1794,28.9,28.82,0.85,0.87
183,0.1794,28.94,28.91,0.85,0.87
184,0.1794,28.95,28.95,0.85,0.87
185,0.1794,28.94,28.93,0.85,0.87
186,0.1794,28.92,28.84,0.85,0.87
187,0.1794,28.98,29.04,0.85,0.87
188,0.1794,28.96,28.98,0.85,0.87
189,0.1794,28.96,28.98,0.85,0.87
190,0.1793,28.93,28.91,0.85,0.87
191,0.1794,28.96,28.97,0.85,0.87
