Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2,Avg. SSIM1,Avg. SSIM2
71,0.1825,31.15,30.01,0.86,0.81
72,0.1825,31.14,29.97,0.86,0.81
73,0.1825,31.16,30.01,0.86,0.81
74,0.1825,31.13,29.99,0.86,0.81
75,0.1825,31.12,29.97,0.86,0.81
76,0.1824,31.12,29.98,0.86,0.81
77,0.1824,31.11,29.96,0.86,0.81
78,0.1824,31.12,29.97,0.86,0.82
79,0.1824,31.13,30.0,0.86,0.81
80,0.1823,31.14,29.98,0.86,0.81
81,0.1824,31.13,29.97,0.86,0.81
82,0.1823,31.11,29.98,0.86,0.82
83,0.1823,31.12,29.95,0.86,0.82
84,0.1823,31.13,29.99,0.86,0.81
85,0.1823,31.15,29.99,0.86,0.81
86,0.1823,31.18,30.02,0.86,0.81
87,0.1823,31.1,29.95,0.86,0.81
88,0.1823,31.11,29.94,0.86,0.82
89,0.1822,31.15,30.01,0.86,0.82
90,0.1822,31.14,30.0,0.86,0.81
91,0.1822,31.12,29.97,0.86,0.82
92,0.1822,31.15,30.0,0.86,0.81
93,0.1822,31.13,29.97,0.86,0.81
94,0.1822,31.14,30.01,0.86,0.81
95,0.1822,31.12,29.98,0.86,0.82
96,0.1821,31.1,29.93,0.86,0.82
97,0.1821,31.13,29.99,0.86,0.81
98,0.1821,31.14,30.0,0.86,0.82
99,0.1821,31.15,29.98,0.86,0.82
100,0.182,31.13,29.98,0.86,0.82
101,0.182,31.12,29.96,0.86,0.82
102,0.182,31.13,29.98,0.86,0.82
103,0.182,31.14,29.99,0.86,0.82
104,0.182,31.14,29.98,0.86,0.82
105,0.182,31.15,30.0,0.86,0.81
106,0.182,31.13,29.97,0.86,0.81
107,0.182,31.13,29.99,0.86,0.82
108,0.182,31.14,29.99,0.86,0.82
109,0.182,31.14,29.99,0.86,0.81
110,0.182,31.14,29.99,0.86,0.82
111,0.182,31.14,29.98,0.86,0.82
112,0.182,31.16,30.01,0.86,0.81
113,0.182,31.14,29.99,0.86,0.81
114,0.182,31.13,29.97,0.86,0.82
115,0.1819,31.15,30.0,0.86,0.82
116,0.1819,31.14,29.98,0.86,0.82
117,0.1819,31.14,29.97,0.86,0.82
118,0.1819,31.11,29.96,0.86,0.82
119,0.1819,31.12,29.97,0.86,0.82
120,0.1819,31.13,29.98,0.86,0.82
121,0.1819,31.14,29.98,0.86,0.81
122,0.1819,31.15,30.0,0.86,0.82
123,0.1819,31.16,30.01,0.86,0.81
124,0.1819,31.14,29.98,0.86,0.82
125,0.1819,31.14,29.98,0.86,0.82
126,0.1819,31.16,30.01,0.86,0.82
127,0.1819,31.15,29.99,0.86,0.82
128,0.1819,31.13,29.97,0.86,0.82
129,0.1819,31.14,30.0,0.86,0.81
130,0.1819,31.14,29.97,0.86,0.82
131,0.1818,31.16,30.01,0.86,0.82
132,0.1818,31.16,30.01,0.86,0.81
133,0.1818,31.14,30.0,0.86,0.81
134,0.1818,31.15,30.0,0.86,0.82
135,0.1818,31.15,30.0,0.86,0.82
136,0.1818,31.15,29.99,0.86,0.82
137,0.1818,31.13,29.99,0.86,0.82
138,0.1818,31.15,29.99,0.86,0.82
139,0.1818,31.14,29.99,0.86,0.82
140,0.1818,31.15,30.0,0.86,0.82
141,0.1818,31.14,29.99,0.86,0.82
142,0.1818,31.15,30.0,0.86,0.82
143,0.1818,31.12,29.95,0.86,0.82
144,0.1818,31.15,29.99,0.86,0.82
145,0.1818,31.14,29.99,0.86,0.81
146,0.1818,31.16,30.02,0.86,0.81
147,0.1818,31.14,29.96,0.86,0.82
148,0.1817,31.15,30.01,0.86,0.82
149,0.1818,31.15,30.0,0.86,0.81
150,0.1817,31.15,30.0,0.86,0.82
151,0.1817,31.14,29.98,0.86,0.81
152,0.1817,31.14,29.99,0.86,0.82
153,0.1817,31.14,29.98,0.86,0.82
154,0.1817,31.15,30.0,0.86,0.82
