Epoch,Avg. Loss,Avg. PSNR1,Avg. PSNR2
1,0.9656,20.87,15.23
2,0.5511,22.67,18.05
3,0.4165,24.63,20.87
4,0.3345,25.91,22.53
5,0.2852,25.8,23.95
6,0.2604,26.62,25.09
7,0.2325,26.01,23.42
8,0.2194,27.56,25.63
9,0.2011,26.66,24.57
10,0.194,27.1,26.19
11,0.1929,26.98,25.73
12,0.1745,26.62,25.25
13,0.1707,27.75,26.38
14,0.1635,27.01,25.82
15,0.1629,27.82,26.52
16,0.1543,27.27,26.11
17,0.1559,27,25.91
18,0.1521,27.61,26.27
19,0.1513,26.76,25.85
20,0.1491,27.71,26.22
21,0.1499,26.28,25.8
22,0.1475,27.29,26.24
23,0.1489,27.17,26.29
24,0.1562,27.84,26.54
25,0.1484,27.38,25.96
26,0.1453,27.33,26.24
27,0.1435,27.32,26.27
28,0.143,26.96,25.74
29,0.1424,27.7,26.55
30,0.1407,26.96,25.88
31,0.1429,27.65,26.49
32,0.1416,27.26,25.96
33,0.1409,27.86,26.59
34,0.1389,27.01,26.22
35,0.139,26.72,25.71
36,0.1381,27.29,26.46
37,0.1385,27.01,26.1
38,0.1383,27.54,26.3
39,0.1365,27.74,26.55
40,0.1367,27.67,26.54
41,0.1362,27.75,26.5
42,0.1358,25.56,25.27
43,0.1357,27.52,26.44
44,0.1355,27.67,26.49
45,0.1352,27.48,26.43
46,0.135,27.48,26.45
47,0.1346,27.25,26.1
48,0.1345,27.89,26.67
49,0.1343,26.99,26.13
50,0.1339,27.25,26.19
51,0.1308,27.91,26.68
52,0.1305,27.6,26.55
53,0.1305,27.75,26.55
54,0.1305,27.38,26.32
55,0.1303,27.38,26.29
56,0.1302,27.84,26.67
57,0.1302,27.56,26.65
58,0.1302,27.76,26.5
59,0.1302,27.08,26.13
60,0.13,27.73,26.54
61,0.1301,27.49,26.43
62,0.1299,27.53,26.6
63,0.13,27.88,26.61
64,0.1297,26.79,25.89
65,0.1299,27.64,26.34
66,0.1298,27.77,26.54
67,0.1297,27.66,26.55
68,0.1298,27.8,26.6
69,0.1294,27.41,26.42
70,0.1296,27.68,26.55
71,0.1296,27.26,26.39
72,0.1296,27.74,26.43
73,0.1295,27.34,26.47
74,0.1295,27.45,26.42
75,0.1294,27.48,26.59
76,0.1294,27.71,26.6
77,0.1294,27.62,26.54
78,0.1292,27.81,26.47
79,0.1291,27.29,26.28
80,0.1292,27,26.25
81,0.1292,27.23,26.27
82,0.1291,27.6,26.45
83,0.129,27.8,26.66
84,0.1291,27.86,26.7
85,0.129,27.4,26.35
86,0.1289,27.57,26.59
87,0.1291,27.26,26.45
88,0.129,27.53,26.45
89,0.129,27.61,26.44
90,0.1289,27.94,26.67
91,0.1289,27.51,26.5
92,0.1289,27.7,26.49
93,0.1287,27.51,26.49
94,0.1289,27.55,26.57
95,0.1287,28.12,26.75
96,0.1289,27.65,26.47
97,0.1287,28.02,26.81
98,0.1287,27.51,26.51
99,0.1287,27.33,26.37
100,0.1286,27.89,26.63
101,0.1276,27.42,26.43
102,0.1276,27.75,26.6
