Epoch,Avg. Loss_r,Avg. Loss_g,Avg. PSNR1,Avg. PSNR2
191,0.0902,0.0679,27.61,26.54
192,0.0904,0.068,27.75,26.67
193,0.0904,0.068,27.58,26.53
194,0.0904,0.068,27.54,26.48
195,0.0904,0.068,27.51,26.46
196,0.0904,0.068,27.5,26.57
197,0.0904,0.068,27.64,26.47
198,0.0904,0.068,27.75,26.61
199,0.0904,0.068,27.51,26.47
200,0.0904,0.068,27.77,26.66
201,0.0902,0.0679,27.65,26.58
202,0.0902,0.0679,27.63,26.55
203,0.0902,0.0679,27.83,26.71
204,0.0902,0.0679,27.7,26.62
205,0.0902,0.0679,27.64,26.57
206,0.0902,0.0679,27.62,26.58
207,0.0902,0.0679,27.53,26.5
208,0.0902,0.0679,27.63,26.57
209,0.0902,0.0679,27.58,26.53
210,0.0902,0.0679,27.65,26.61
211,0.0902,0.0679,27.57,26.47
212,0.0902,0.0679,27.72,26.58
213,0.0902,0.0679,27.72,26.62
214,0.0902,0.0679,27.76,26.64
215,0.0902,0.0679,27.54,26.44
216,0.0902,0.0679,27.53,26.49
217,0.0902,0.0679,27.74,26.62
218,0.0902,0.0679,27.71,26.63
219,0.0901,0.0679,27.73,26.66
220,0.0902,0.0679,27.46,26.43
221,0.0902,0.0679,27.52,26.49
222,0.0902,0.0679,27.7,26.58
223,0.0902,0.0679,27.62,26.55
224,0.0902,0.0679,27.63,26.58
225,0.0901,0.0679,27.68,26.57
226,0.0901,0.0679,27.71,26.61
227,0.0901,0.0679,27.57,26.49
228,0.0901,0.0679,27.7,26.62
229,0.0902,0.0679,27.64,26.51
230,0.0902,0.0679,27.61,26.54
231,0.0901,0.0679,27.61,26.57
232,0.0901,0.0679,27.66,26.56
233,0.0901,0.0679,27.67,26.63
234,0.0901,0.0679,27.68,26.56
235,0.0901,0.0679,27.71,26.62
236,0.0901,0.0679,27.6,26.54
237,0.0901,0.0679,27.68,26.62
238,0.0901,0.0679,27.67,26.57
239,0.0901,0.0679,27.5,26.48
240,0.0901,0.0679,27.53,26.51
241,0.0901,0.0679,27.59,26.56
242,0.0901,0.0679,27.66,26.57
